date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:17	70/70	---M-Z	200	added ('OK')	text/plain	etag:%226547-1641694611;gz%22	https://pluginspoint.com/robots.txt		(from )
10:57:18	85105/85105	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20May%202018%2007:06:04%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/index.html	(from )
10:57:19	127343/127343	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:20:06%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/css/bootstrap.min.css	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/css/bootstrap.min.css	(from https://pluginspoint.com/demo/consult-vita-preview/consult-vita/)
10:57:19	35973/35973	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:20:08%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/css/jquery-ui.css	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/css/jquery-ui.css	(from https://pluginspoint.com/demo/consult-vita-preview/consult-vita/)
10:57:20	34680/34680	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:20:06%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/css/fontawesome-all.min.css	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/css/fontawesome-all.min.css	(from https://pluginspoint.com/demo/consult-vita-preview/consult-vita/)
10:57:21	2537/2537	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:20:06%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/css/flaticon.css	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/css/flaticon.css	(from https://pluginspoint.com/demo/consult-vita-preview/consult-vita/)
10:57:22	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:20:10%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/css/owl.carousel.min.css	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/css/owl.carousel.min.css	(from https://pluginspoint.com/demo/consult-vita-preview/consult-vita/)
10:57:23	34168/34168	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:20:10%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/css/pogo-slider.min.css	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/css/pogo-slider.min.css	(from https://pluginspoint.com/demo/consult-vita-preview/consult-vita/)
10:57:24	10424/10424	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:20:08%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/css/jquery.fancybox.min.css	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/css/jquery.fancybox.min.css	(from https://pluginspoint.com/demo/consult-vita-preview/consult-vita/)
10:57:25	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2008:20:08%20GMT	https://pluginspoint.com/demo/consult-vita-preview/consult-vita/css/magnific-popup.css	documents/clover/pluginspoint.com/demo/consult-vita-preview/consult-vita/css/magnific-popup.css	(from https://pluginspoint.com/demo/consult-vita-preview/consult-vita/)
